Game_name,Game_platform,Game_release_date,Game_developer,Game_distribution,Game_genre,Critic_score_0_100,Critic_num_reviews,User_score_0_10,User_num_reviews,Link
"""Hook""",iOS (iPhone/iPad),2015-01-20,Megabyte Bomb,Megabyte Bomb,Puzzle,,,,,https://www.metacritic.com/game/hook-2015
#Blud,PC,2024-06-18,Exit 73 Studios,Humble Games,Action Adventure,,,,,https://www.metacritic.com/game/blud
#Drive,iOS (iPhone/iPad),2021-02-16,Dariusz Pietrala,PM Studios Inc.,Auto Racing,69.0,7.0,6.3,7.0,/game/drive-2019/
#Drive Rally,Xbox Series X,,Pixel Perfect Dude,Pixel Perfect Dude,Arcade Racing,,,,,https://www.metacritic.com/game/drive-rally
#Idarb,Xbox One,2015-01-30,Other Ocean Interactive,Other Ocean Interactive,Party,77.0,31.0,6.9,91.0,/game/idarb/
#Killallzombies,PlayStation 4,2016-08-10,Beatshapers,Digerati Distribution,Top-Down Shoot-'Em-Up,53.0,9.0,,,/game/killallzombies/
'Splosion Man,Xbox 360,2009-07-22,Twisted Pixel Games,Twisted Pixel Games,2D Platformer,84.0,52.0,7.3,92.0,/game/splosion-man/
.Detuned,PlayStation 3,2009-10-15,.theprodukkt,SCEA,Rhythm,46.0,9.0,3.4,32.0,/game/-detuned/
.Hack//G.U. Last Recode,PlayStation 4,2017-11-03,CyberConnect2,Bandai Namco Games,Compilation,76.0,21.0,8.2,75.0,/game/hack-gu-last-recode/
.Hack//G.U. Vol. 1//Rebirth,PlayStation 2,2006-10-24,CyberConnect2,Namco Bandai Games,Action RPG,69.0,21.0,7.8,32.0,/game/-hack-g-u-vol-1-rebirth/
.Hack//G.U. Vol. 2//Reminisce,PlayStation 2,2007-05-08,CyberConnect2,Namco Bandai Games,Action RPG,61.0,21.0,8.1,18.0,/game/-hack-g-u-vol-2-reminisce/
.Hack//G.U. Vol. 3//Redemption,PlayStation 2,2007-09-10,CyberConnect2,Namco Bandai Games,Action RPG,60.0,15.0,8.9,23.0,/game/-hack-g-u-vol-3-redemption/
.Hack//Infection Part 1,PlayStation 2,2003-02-10,CyberConnect2,Bandai,Action RPG,75.0,35.0,7.5,31.0,/game/-hack-infection-part-1/
.Hack//Mutation Part 2,PlayStation 2,2003-05-06,CyberConnect2,Bandai,Action RPG,76.0,24.0,6.3,21.0,/game/-hack-mutation-part-2/
.Hack//Outbreak Part 3,PlayStation 2,2003-09-09,CyberConnect2,Bandai,Action RPG,70.0,23.0,7.2,11.0,/game/-hack-outbreak-part-3/
.Hack//Quarantine Part 4,PlayStation 2,2004-01-14,CyberConnect2,Bandai,Action RPG,70.0,20.0,6.7,13.0,/game/-hack-quarantine-part-4/
0 Day Attack On Earth,Xbox 360,2009-12-23,Gulti,Square Enix,Third Person Shooter,41.0,19.0,5.9,8.0,/game/0-day-attack-on-earth/
007 Legends,Xbox 360,2012-10-16,Eurocom,Activision,FPS,45.0,49.0,4.5,86.0,/game/007-legends/
007 Racing,PlayStation,2000-11-20,Eutechnyx,Electronic Arts,Auto Racing,51.0,16.0,4.9,20.0,/game/007-racing/
007: Nightfire,GameCube,2002-11-18,Eurocom,Electronic Arts,FPS,78.0,30.0,8.4,21.0,/game/james-bond-007-nightfire/
007: Quantum Of Solace,Xbox 360,2008-11-04,Treyarch,Activision,FPS,65.0,69.0,6.9,69.0,/game/quantum-of-solace/
007: Quantum Of Solace (Nintendo Ds),DS,2008-11-04,Vicarious Visions,Activision,Action Adventure,65.0,10.0,,,/game/007-quantum-of-solace-nintendo-ds/
007: The World Is Not Enough,Nintendo 64,2000-11-01,Eurocom,Electronic Arts,FPS,81.0,16.0,7.9,51.0,/game/007-the-world-is-not-enough/
0Rbitalis,PC,2015-05-28,Alan Zucconi,Mastertronic,Action Puzzle,73.0,9.0,7.2,5.0,/game/0rbitalis/
1-2-Switch,Nintendo Switch,2017-03-03,Nintendo,Nintendo,Party,58.0,65.0,4.9,477.0,/game/1-2-switch/
10 Second Ninja,PC,2014-03-05,GameDesignDan,Mastertronic,2D Platformer,72.0,13.0,7.1,17.0,/game/10-second-ninja/
10 Second Ninja X,PC,2016-07-19,GameDesignDan,Curve Digital,2D Platformer,76.0,16.0,5.3,24.0,/game/10-second-ninja-x/
100 Classic Books,DS,2010-06-14,Genius Sonority Inc.,Nintendo,Application,70.0,7.0,6.1,11.0,/game/100-classic-books/
100 Years' War,PC,2019-08-09,HexWar Games,HexWar Games,Turn-Based Tactics,4.3,4.0,,,https://www.metacritic.com/game/100-years-war
100-Yen Gomibako,PlayStation 3,2009-07-16,SCEI,SCEI,Stacking Puzzle,,,,,https://www.metacritic.com/game/100-yen-gomibako
1000 Tiny Claws,PSP,2011-10-04,Mediatonic,Mediatonic,Action,76.0,8.0,7.2,11.0,/game/1000-tiny-claws/
1001 Spikes,3DS,2014-06-03,Nicalis,Nicalis,2D Platformer,78.0,8.0,6.5,37.0,/game/aban-hawkins-and-the-1-001-spikes/
100Ft Robot Golf,PlayStation 4,2017-09-27,No Goblin,No Goblin,Golf,56.0,18.0,6.2,20.0,/game/100ft-robot-golf/
101-In-1 Explosive Megamix,Wii,2009-04-21,Nordcurrent,Atlus,Party,46.0,13.0,2.8,,/game/101-in-1-explosive-megamix/
101-In-1 Sports Party Megamix,Wii,2011-01-13,Nordcurrent,Atlus,Sports,41.0,7.0,,,/game/101-in-1-sports-party-megamix/
1080: Avalanche,GameCube,2003-12-01,Nintendo,Nintendo,Skiing,73.0,37.0,7.8,28.0,/game/1080-avalanche/
1080: Teneighty Snowboarding,Nintendo 64,1998-03-31,Nintendo,Nintendo,Skiing,70.0,8.0,,,/game/1080-teneighty-snowboarding/
11-11: Memories Retold,Xbox One,2018-11-09,Digixart Entertainment,Bandai Namco Games,Third-Person Adventure,77.0,33.0,7.5,72.0,/game/11-11-memories-retold/
112 Operator,PC,2020-04-23,Jutsu Games,Games Operators,Strategy,73.0,10.0,7.2,30.0,/game/112-operator/
12 Labours Of Hercules Ii: The Cretan Bull,PC,2014-07-17,Zoom Out Games,GameHouse,Real-Time Strategy,7.0,13.0,,,https://www.metacritic.com/game/12-labours-of-hercules-ii-the-cretan-bull
12 Is Better Than 6,PC,2019-03-05,Ink Stains Games,HypeTrain Digital,Top-Down Shoot-'Em-Up,59.0,10.0,6.8,11.0,/game/12-is-better-than-6/
13 Sentinels: Aegis Rim,PlayStation 4,2020-09-22,Vanillaware,Sega,Adventure,85.0,70.0,8.9,443.0,/game/13-sentinels-aegis-rim/
140,PC,2020-01-09,Jeppe Carlsen,Jeppe Carlsen,2D Platformer,70.0,7.0,,,/game/140/
1503 A.D. - The New World,PC,2003-03-23,Sunflowers Interactive,Electronic Arts,Real-Time Strategy,74.0,14.0,6.9,15.0,/game/1503-a-d-the-new-world/
153 Hand Video Poker,Wii U,2016-06-02,Skunk Software,Skunk Software,Gambling,,,,,https://www.metacritic.com/game/153-hand-video-poker
1701 A.D.,PC,2006-11-06,Related Designs,Aspyr,Real-Time Strategy,79.0,30.0,7.8,32.0,/game/1701-a-d/
18 Wheeler: American Pro Trucker,Dreamcast,2002-02-20,Acclaim Studios Cheltenham,Acclaim,Auto Racing,52.0,17.0,4.5,,/game/18-wheeler-american-pro-trucker/
187 Ride Or Die,PlayStation 2,2005-08-24,Ubisoft Paris,Ubisoft,Vehicle Combat Sim,51.0,40.0,,,/game/187-ride-or-die/
1942: Joint Strike,Xbox 360,2008-07-23,Backbone Entertainment,Capcom,Vertical Shoot-'Em-Up,68.0,36.0,5.9,15.0,/game/1942-joint-strike/
1950S Lawn Mower Kids,DS,2011-11-03,Zordix,Zordix,Action Puzzle,43.0,7.0,,,/game/1950s-lawn-mower-kids/
1954: Alcatraz,PC,2014-03-11,Daedalic Entertainment,Daedalic Entertainment,Point-and-Click,58.0,24.0,6.3,44.0,/game/1954-alcatraz/
1979 Revolution: Black Friday,iOS (iPhone/iPad),2016-04-04,iNK Stories,iNK Stories,Adventure,80.0,27.0,7.5,86.0,/game/1979-revolution-black-friday/
198X,PlayStation 4,2019-06-20,Hi-Bit Studios,Hi-Bit Studios,Party,63.0,14.0,6.1,28.0,/game/198x/
1993 Shenandoah,Nintendo Switch,2020-07-09,Limit Break,Limit Break,Horizontal Shoot-'Em-Up,,,,,https://www.metacritic.com/game/1993-shenandoah
1Nsane,PC,2001-02-05,Invictus,Codemasters,Auto Racing Sim,69.0,14.0,7.2,24.0,/game/1nsane/
2 Days To Vegas,PC,,,,Action Adventure,,,,,https://www.metacritic.com/game/2-days-to-vegas
2002 Fifa World Cup,PlayStation 2,2002-04-22,EA Sports,EA Sports,Soccer Sim,73.0,19.0,5.4,10.0,/game/2002-fifa-world-cup/
2010 Fifa World Cup South Africa,Xbox 360,2010-04-27,Electronic Arts,EA Sports,Soccer Sim,83.0,61.0,8.4,41.0,/game/2010-fifa-world-cup-south-africa/
2014 Fifa World Cup Brazil,Xbox 360,2014-04-15,EA Canada,EA Sports,Soccer Sim,73.0,33.0,4.9,108.0,/game/2014-fifa-world-cup-brazil/
2064: Read Only Memories,PC,2017-01-17,MidBoss,MidBoss,Point-and-Click,76.0,15.0,3.4,555.0,/game/2064-read-only-memories/
2064: Read Only Memories Integral,Nintendo Switch,2018-07-26,MidBoss,MidBoss,Point-and-Click,74.0,7.0,6.5,15.0,/game/2064-read-only-memories-integral/
20Xx,PC,2018-07-10,Batterystaple Games,Batterystaple Games,2D Platformer,77.0,14.0,7.1,20.0,/game/20xx/
24: The Game,PlayStation 2,2006-02-28,SCE Studio Cambridge,2K Games,Action Adventure,62.0,53.0,7.6,27.0,/game/24-the-game/
25 To Life,PlayStation 2,2006-01-17,Avalanche Software,Eidos Interactive,Third Person Shooter,39.0,23.0,5.1,23.0,/game/25-to-life/
